id,name,img_url,brand_id,cat_id,sub_id
75,Leche Vegetal Ades Almendras Sin Azúcar 1 L,https://tatauy.vteximg.com.br/arquivos/ids/369259-600-600/Leche-Vegetal-Ades-Almendras-Sin-Az-car-1-L-1-25363.jpg?v=637896081894930000,25,3,14
76,Agua Jane Aero Desinfectante Expert Original 332 Ml,https://tatauy.vteximg.com.br/arquivos/ids/329272-600-600/Agua-Jane-Aero-Desinfectante-Expert-Original-332-Ml-1-23895.jpg?v=637842621997600000,34,4,16
77,Cerveza CORONA 330 ml,https://geant.vteximg.com.br/arquivos/ids/293584-200-200/550183.jpg?v=637777800844130000,484,2,5
78,Cerveza CORONA Extra 355 ml 6 un.,https://geant.vteximg.com.br/arquivos/ids/290051-200-200/550671.jpg?v=637729263448900000,484,2,5
79,Cerveza CORONA 710 ml,https://geant.vteximg.com.br/arquivos/ids/244809-200-200/550670.jpg?v=637172048888800000,484,2,5
80,Cerveza BRAHMA 473 ml,https://geant.vteximg.com.br/arquivos/ids/265715-200-200/550941.jpg?v=637430497435000000,256,2,5
81,Cerveza Cabesas Bier Blonde Ale 500 Ml,https://tatauy.vteximg.com.br/arquivos/ids/231392-600-600/Cerveza-Cabesas-Bier-Blonde-Ale-500-Ml-1-6332.jpg?v=637734732935930000,302,2,5
82,Cerveza Cabesas Bier Scotish Ale 500 Ml,https://tatauy.vteximg.com.br/arquivos/ids/231375-600-600/Cerveza-Cabesas-Bier-Scotish-Ale-500-Ml-Cerveza-Cabesas-Bier-Scotish-Ale-500-00-Ml-1-880.jpg?v=637734732894630000,302,2,5
83,Yogur COLONIAL light durazno 1 L,https://geant.vteximg.com.br/arquivos/ids/205130-200-200/245780.jpg?v=636402840611670000,460,3,14
84,Queso Maasdam CALCAR kg,https://geant.vteximg.com.br/arquivos/ids/296399-200-200/270828.jpg?v=637822817261330000,313,3,12
85,Harina integral CAÑUELAS 1 kg,https://geant.vteximg.com.br/arquivos/ids/274677-200-200/472129.jpg?v=637587554545900000,330,1,1
86,Harina CAÑUELAS con levadura para pizza 1kg,https://geant.vteximg.com.br/arquivos/ids/283307-200-200/673705.jpg?v=637665584795900000,330,1,1
87,Harina leudante con calcio + vitamina D CAÑUELAS 1 kg,https://geant.vteximg.com.br/arquivos/ids/292685-200-200/472468.jpg?v=637756947998830000,330,1,1
88,Harina Integral Leudante Cañuelas 500 G,https://tatauy.vteximg.com.br/arquivos/ids/230622-600-600/Harina-Integral-Leudante-Canuelas-500Gr-1-24642.jpg?v=637732029859430000,330,1,1
89,Arroz Patna Blue Patna 5 Kg,https://tatauy.vteximg.com.br/arquivos/ids/162225-600-600/ARROZ-PATNA-BLUE-PATNA-BOLSA-5-KG-1-3452.jpg?v=636978215173000000,227,1,1
90,Papas fritas LAY'S 250 g,https://geant.vteximg.com.br/arquivos/ids/282104-200-200/573099.jpg?v=637656748628900000,1190,1,1
